"county","age_group","population","susceptible","exposed","isolated","symptomatic","asymptomatic","hospitalized","deaths","recovered","vaccinated","cumulative_vaccinated"
"Madera","50-64",25730,10891,0,0,5,5,4,0,8,103,14817
"Madera","65+",25271,9527,0,0,2,2,2,0,5,40,15733
"Marin","0-17",19172,4784,0,0,4,4,1,0,3,309,14376
"Marin","18-49",83329,12219,0,0,17,17,4,0,15,500,71057
"Marin","50-64",57460,9257,0,0,5,5,1,0,5,147,48187
"Marin","65+",70457,19197,0,0,3,3,1,0,2,60,51251
"Mariposa","0-17",1275,1110,0,0,0,0,0,0,0,5,165
"Mariposa","18-49",5171,3731,0,0,1,1,0,0,2,9,1436
"Mariposa","50-64",3743,2228,0,0,0,0,0,0,0,3,1515
"Mariposa","65+",5361,3431,0,0,0,0,0,0,0,2,1930
"Mendocino","0-17",6842,4890,0,0,2,2,1,0,7,91,1940
"Mendocino","18-49",31935,16351,0,0,12,12,4,0,25,179,15531
"Mendocino","50-64",15275,4709,0,0,4,4,1,0,9,69,10548
"Mendocino","65+",21676,6814,0,0,2,2,1,0,6,34,14851
"Merced","0-17",27652,23862,0,0,4,4,0,0,6,191,3776
"Merced","18-49",129326,89449,0,0,18,18,1,0,25,468,39815
"Merced","50-64",43335,21488,0,0,6,6,0,0,8,151,21827
"Merced","65+",35483,14953,0,0,3,3,0,1,5,55,20518
"Modoc","0-17",843,795,0,0,0,0,0,0,1,1,47
"Modoc","18-49",3255,2633,0,0,1,1,0,0,9,15,611
"Modoc","50-64",1959,1226,0,0,0,0,0,0,2,3,731
"Modoc","65+",2337,1055,0,0,0,0,0,0,1,3,1281
"Mono","0-17",1117,681,0,0,0,0,0,0,0,10,436
"Mono","18-49",5590,1898,0,0,1,1,0,0,2,19,3688
"Mono","50-64",2264,162,0,0,0,0,0,0,0,4,2102
"Mono","65+",3037,1449,0,0,0,0,0,0,0,3,1588
"Monterey","0-17",40613,28763,0,0,3,3,1,0,4,633,11839
"Monterey","18-49",184109,77034,0,0,8,8,3,0,20,1417,107036
"Monterey","50-64",75075,24713,0,0,3,3,1,0,7,289,50348
"Monterey","65+",67481,22220,0,0,1,1,1,0,4,118,45254
"Napa","0-17",10396,5616,0,0,3,3,0,0,4,201,4770
"Napa","18-49",56305,20831,0,0,15,15,2,0,12,300,35430
"Napa","50-64",26163,5184,0,0,6,6,1,0,5,123,20961
"Napa","65+",29682,6862,0,0,2,2,0,0,1,39,22815
"Nevada","0-17",5690,3715,0,0,3,3,1,0,5,74,1963
"Nevada","18-49",32902,18489,0,0,8,8,4,0,20,182,14373
"Nevada","50-64",18951,7194,0,0,3,3,1,0,7,58,11743
"Nevada","65+",30376,13064,0,0,1,1,1,0,4,44,17305
"Orange","0-17",249886,161549,0,0,33,33,9,0,37,5392,88225
"Orange","18-49",1327312,554015,0,0,147,147,37,0,157,8944,772809
"Orange","50-64",614808,171338,0,0,49,49,12,0,53,3097,443307
"Orange","65+",545104,160735,0,0,28,28,7,0,29,1072,384277
"Placer","0-17",30340,19824,0,0,5,5,5,0,16,552,10485
"Placer","18-49",156869,84693,0,0,23,23,22,0,75,853,72033
"Placer","50-64",79519,28887,0,0,8,8,7,0,25,354,50584
"Placer","65+",82169,19876,0,0,4,4,4,0,14,152,62267
"Plumas","0-17",987,797,0,0,0,0,0,0,0,12,190
"Plumas","18-49",5296,3264,0,0,1,1,0,0,3,25,2027
"Plumas","50-64",4109,1993,0,0,0,0,0,0,0,15,2116
"Plumas","65+",6954,3389,0,0,0,0,0,0,0,8,3565
"Riverside","0-17",211745,164578,0,0,38,38,10,0,43,3330,47038
"Riverside","18-49",1051001,638604,0,0,162,162,42,0,195,7095,411836
"Riverside","50-64",438492,174976,0,0,53,53,14,0,66,2437,263330
"Riverside","65+",400157,136215,0,0,30,30,8,0,35,931,263839
"Sacramento","0-17",128982,90352,0,0,57,57,10,0,55,2078,38451
"Sacramento","18-49",662473,330164,0,0,249,249,45,0,242,4796,331524
"Sacramento","50-64",279466,96226,0,0,82,82,15,0,81,1508,182980
"Sacramento","65+",245972,72291,0,0,46,46,8,1,45,618,173535
"San Benito","0-17",4904,2999,0,0,3,3,0,0,0,99,1899
"San Benito","18-49",25994,12182,0,0,15,15,1,0,3,227,13778
"San Benito","50-64",12148,4206,0,0,5,5,0,0,0,58,7932
"San Benito","65+",9702,3704,0,0,3,3,0,0,0,26,5992
"San Bernardino","0-17",194776,154080,0,0,31,31,12,0,46,2715,40576
"San Bernardino","18-49",972469,599999,0,0,133,133,52,0,205,6462,371947
"San Bernardino","50-64",375965,153597,0,0,44,44,17,0,67,2315,222196
"San Bernardino","65+",285872,103579,0,0,25,25,10,1,38,914,182194
"San Diego","0-17",259888,159226,0,0,41,41,11,0,76,5135,100493
"San Diego","18-49",1456327,567014,0,0,182,182,50,0,330,12773,888569
