,county,date,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,new_tests,cumulative_total_tests,new_diagnoses,cumulative_positive_tests,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients
15771,San Diego,2/6/2021,County,3370418,576,254345,25,3179,12819,3063733,1108,263524,1074,43,1117
15827,San Diego,2/7/2021,County,3370418,492,254837,18,3197,11532,3075265,846,264370,1042,37,1079
15883,San Diego,2/8/2021,County,3370418,783,255620,28,3225,29359,3104624,1400,265770,992,47,1039
15939,San Diego,2/9/2021,County,3370418,738,256358,15,3240,28789,3133413,1694,267464,951,50,1001
15995,San Diego,2/10/2021,County,3370418,657,257015,36,3276,25557,3158970,1379,268843,916,41,957
16051,San Diego,2/11/2021,County,3370418,581,257596,15,3291,23903,3182873,1126,269969,857,37,894
16107,San Diego,2/12/2021,County,3370418,548,258144,18,3309,13580,3196453,747,270716,850,40,890
16163,San Diego,2/13/2021,County,3370418,386,258530,21,3330,8037,3204490,507,271223,824,38,862
16219,San Diego,2/14/2021,County,3370418,331,258861,17,3347,6567,3211057,340,271563,806,36,842
16275,San Diego,2/15/2021,County,3370418,491,259352,24,3371,14622,3225679,668,272231,782,37,819
16331,San Diego,2/16/2021,County,3370418,510,259862,20,3391,21404,3247083,781,273012,782,39,821
16387,San Diego,2/17/2021,County,3370418,461,260323,17,3408,17854,3264937,703,273715,746,55,801
16443,San Diego,2/18/2021,County,3370418,375,260698,10,3418,16999,3281936,600,274315,717,41,758
16499,San Diego,2/19/2021,County,3370418,352,261050,14,3432,14111,3296047,548,274863,670,35,705
16555,San Diego,2/20/2021,County,3370418,289,261339,18,3450,7808,3303855,367,275230,636,36,672
16611,San Diego,2/21/2021,County,3370418,243,261582,16,3466,6995,3310850,219,275449,622,36,658
16667,San Diego,2/22/2021,County,3370418,433,262015,13,3479,18168,3329018,519,275968,601,31,632
16723,San Diego,2/23/2021,County,3370418,408,262423,18,3497,18984,3348002,553,276521,597,34,631
16779,San Diego,2/24/2021,County,3370418,374,262797,8,3505,15841,3363843,508,277029,560,35,595
16835,San Diego,2/25/2021,County,3370418,293,263090,14,3519,14015,3377858,454,277483,535,26,561
16891,San Diego,2/26/2021,County,3370418,294,263384,13,3532,12505,3390363,381,277864,523,39,562
16947,San Diego,2/27/2021,County,3370418,226,263610,8,3540,6981,3397344,264,278128,485,34,519
17003,San Diego,2/28/2021,County,3370418,188,263798,9,3549,6470,3403814,215,278343,484,20,504
17059,San Diego,3/1/2021,County,3370418,297,264095,8,3557,17399,3421213,399,278742,479,35,514
17115,San Diego,3/2/2021,County,3370418,316,264411,11,3568,17345,3438558,383,279125,443,29,472
17171,San Diego,3/3/2021,County,3370418,242,264653,13,3581,13661,3452219,355,279480,429,24,453
17227,San Diego,3/4/2021,County,3370418,263,264916,8,3589,13300,3465519,361,279841,401,23,424
17283,San Diego,3/5/2021,County,3370418,260,265176,4,3593,11186,3476705,301,280142,359,23,382
17339,San Diego,3/6/2021,County,3370418,231,265407,8,3601,7094,3483799,253,280395,357,27,384
17395,San Diego,3/7/2021,County,3370418,187,265594,7,3608,6547,3490346,176,280571,345,21,366
17451,San Diego,3/8/2021,County,3370418,280,265874,5,3613,16012,3506358,278,280849,341,23,364
17507,San Diego,3/9/2021,County,3370418,240,266114,7,3620,16246,3522604,367,281216,334,31,365
17563,San Diego,3/10/2021,County,3370418,232,266346,3,3623,14326,3536930,318,281534,319,30,349
17619,San Diego,3/11/2021,County,3370418,222,266568,7,3630,14433,3551363,328,281862,293,23,316
17675,San Diego,3/12/2021,County,3370418,164,266732,1,3631,14689,3566052,321,282183,290,30,320
17731,San Diego,3/13/2021,County,3370418,162,266894,2,3633,8309,3574361,241,282424,279,24,303
17787,San Diego,3/14/2021,County,3370418,155,267049,6,3639,7467,3581828,221,282645,284,23,307
17843,San Diego,3/15/2021,County,3370418,234,267283,5,3644,19700,3601528,325,282970,286,20,306
17899,San Diego,3/16/2021,County,3370418,248,267531,7,3651,22565,3624093,501,283471,281,23,304
17955,San Diego,3/17/2021,County,3370418,232,267763,3,3654,18836,3642929,401,283872,259,23,282
18011,San Diego,3/18/2021,County,3370418,210,267973,2,3656,17482,3660411,404,284276,251,31,282
18067,San Diego,3/19/2021,County,3370418,153,268126,3,3659,13695,3674106,284,284560,244,23,267
18123,San Diego,3/20/2021,County,3370418,135,268261,6,3665,7796,3681902,200,284760,243,26,269
18179,San Diego,3/21/2021,County,3370418,171,268432,2,3667,7038,3688940,219,284979,235,15,250
18235,San Diego,3/22/2021,County,3370418,259,268691,3,3670,16189,3705129,243,285222,233,22,255
18291,San Diego,3/23/2021,County,3370418,210,268901,1,3671,15846,3720975,285,285507,219,21,240
18347,San Diego,3/24/2021,County,3370418,244,269145,5,3676,14481,3735456,355,285862,207,24,231
18403,San Diego,3/25/2021,County,3370418,214,269359,2,3678,13419,3748875,309,286171,198,17,215
18459,San Diego,3/26/2021,County,3370418,228,269587,4,3682,11901,3760776,273,286444,206,13,219
18515,San Diego,3/27/2021,County,3370418,176,269763,2,3684,6373,3767149,251,286695,194,14,208
18571,San Diego,3/28/2021,County,3370418,170,269933,2,3686,6012,3773161,196,286891,194,20,214
18627,San Diego,3/29/2021,County,3370418,275,270208,2,3688,15903,3789064,380,287271,179,16,195
18683,San Diego,3/30/2021,County,3370418,263,270471,4,3692,16177,3805241,419,287690,174,10,184
18739,San Diego,3/31/2021,County,3370418,238,270709,2,3694,14990,3820231,372,288062,183,20,203
18795,San Diego,4/1/2021,County,3370418,231,270940,1,3695,13458,3833689,329,288391,186,28,214
18851,San Diego,4/2/2021,County,3370418,222,271162,1,3696,11617,3845306,346,288737,180,16,196
18907,San Diego,4/3/2021,County,3370418,185,271347,1,3697,7253,3852559,279,289016,185,23,208
18963,San Diego,4/4/2021,County,3370418,169,271516,1,3698,4763,3857322,204,289220,176,24,200
19019,San Diego,4/5/2021,County,3370418,308,271824,1,3699,18311,3875633,402,289622,182,23,205
19075,San Diego,4/6/2021,County,3370418,249,272073,0,3699,17979,3893612,331,289953,178,20,198
19131,San Diego,4/7/2021,County,3370418,261,272334,2,3701,16849,3910461,351,290304,166,17,183
19187,San Diego,4/8/2021,County,3370418,224,272558,2,3703,15452,3925913,365,290669,158,18,176
19243,San Diego,4/9/2021,County,3370418,230,272788,3,3706,12621,3938534,384,291053,157,16,173
19299,San Diego,4/10/2021,County,3370418,197,272985,2,3708,6976,3945510,301,291354,158,20,178
19355,San Diego,4/11/2021,County,3370418,217,273202,0,3708,5998,3951508,224,291578,155,12,167
19411,San Diego,4/12/2021,County,3370418,298,273500,2,3710,19044,3970552,408,291986,171,15,186
19467,San Diego,4/13/2021,County,3370418,259,273759,2,3712,17720,3988272,383,292369,170,18,188
19523,San Diego,4/14/2021,County,3370418,254,274013,5,3717,16368,4004640,361,292730,169,25,194
19579,San Diego,4/15/2021,County,3370418,210,274223,0,3717,16254,4020894,378,293108,170,25,195
19635,San Diego,4/16/2021,County,3370418,246,274469,1,3718,12968,4033862,373,293481,168,13,181
19691,San Diego,4/17/2021,County,3370418,154,274623,2,3720,6815,4040677,263,293744,160,22,182
19747,San Diego,4/18/2021,County,3370418,147,274770,2,3722,6100,4046777,197,293941,169,16,185
19803,San Diego,4/19/2021,County,3370418,279,275049,2,3724,20056,4066833,367,294308,169,19,188
19859,San Diego,4/20/2021,County,3370418,247,275296,3,3727,19889,4086722,331,294639,171,22,193
19915,San Diego,4/21/2021,County,3370418,231,275527,3,3730,17016,4103738,413,295052,170,20,190
19971,San Diego,4/22/2021,County,3370418,210,275737,2,3732,15767,4119505,306,295358,174,18,192
20027,San Diego,4/23/2021,County,3370418,166,275903,1,3733,13403,4132908,305,295663,177,20,197
20083,San Diego,4/24/2021,County,3370418,139,276042,0,3733,6426,4139334,191,295854,154,19,173
20139,San Diego,4/25/2021,County,3370418,103,276145,2,3735,5670,4145004,137,295991,152,22,174
20195,San Diego,4/26/2021,County,3370418,213,276358,1,3736,21161,4166165,261,296252,150,11,161
20251,San Diego,4/27/2021,County,3370418,175,276533,3,3739,18855,4185020,304,296556,153,14,167
20307,San Diego,4/28/2021,County,3370418,157,276690,2,3741,16542,4201562,270,296826,152,17,169
20363,San Diego,4/29/2021,County,3370418,154,276844,2,3743,15285,4216847,251,297077,145,18,163
20419,San Diego,4/30/2021,County,3370418,151,276995,1,3744,12698,4229545,248,297325,145,8,153
20475,San Diego,5/1/2021,County,3370418,96,277091,1,3745,6908,4236453,146,297471,137,10,147
20531,San Diego,5/2/2021,County,3370418,124,277215,0,3745,5379,4241832,125,297596,141,12,153
20587,San Diego,5/3/2021,County,3370418,196,277411,0,3745,19573,4261405,243,297839,145,17,162
20643,San Diego,5/4/2021,County,3370418,163,277574,0,3745,18142,4279547,254,298093,146,17,163
20699,San Diego,5/5/2021,County,3370418,167,277741,2,3747,15725,4295272,234,298327,143,23,166
20755,San Diego,5/6/2021,County,3370418,137,277878,1,3748,17197,4312469,305,298632,140,8,148
20811,San Diego,5/7/2021,County,3370418,127,278005,0,3748,15149,4327618,279,298911,137,13,150
20867,San Diego,5/8/2021,County,3370418,85,278090,1,3749,7593,4335211,149,299060,142,13,155
20923,San Diego,5/9/2021,County,3370418,83,278173,0,3749,5739,4340950,102,299162,144,16,160
20979,San Diego,5/10/2021,County,3370418,165,278338,1,3750,22176,4363126,267,299429,148,21,169
21035,San Diego,5/11/2021,County,3370418,164,278502,0,3750,22617,4385743,322,299751,139,16,155
21091,San Diego,5/12/2021,County,3370418,135,278637,0,3750,17663,4403406,288,300039,142,16,158
21147,San Diego,5/13/2021,County,3370418,104,278741,0,3750,19444,4422850,237,300276,133,21,154
21203,San Diego,5/14/2021,County,3370418,114,278855,2,3752,14517,4437367,233,300509,137,10,147
21259,San Diego,5/15/2021,County,3370418,73,278928,0,3752,7704,4445071,138,300647,130,10,140
21315,San Diego,5/16/2021,County,3370418,71,278999,0,3752,5809,4450880,100,300747,125,7,132
21371,San Diego,5/17/2021,County,3370418,118,279117,1,3753,21223,4472103,211,300958,130,8,138
21427,San Diego,5/18/2021,County,3370418,132,279249,1,3754,21697,4493800,297,301255,132,11,143
21483,San Diego,5/19/2021,County,3370418,108,279357,1,3755,17464,4511264,220,301475,135,9,144
21539,San Diego,5/20/2021,County,3370418,85,279442,1,3756,16714,4527978,194,301669,135,16,151
21595,San Diego,5/21/2021,County,3370418,88,279530,0,3756,13253,4541231,167,301836,129,17,146
21651,San Diego,5/22/2021,County,3370418,73,279603,1,3757,7038,4548269,120,301956,125,15,140
21707,San Diego,5/23/2021,County,3370418,59,279662,2,3759,5615,4553884,84,302040,119,13,132
21763,San Diego,5/24/2021,County,3370418,89,279751,2,3761,21188,4575072,182,302222,114,13,127
21819,San Diego,5/25/2021,County,3370418,108,279859,0,3761,21089,4596161,263,302485,116,12,128
21875,San Diego,5/26/2021,County,3370418,82,279941,0,3761,16396,4612557,191,302676,127,13,140
21931,San Diego,5/27/2021,County,3370418,75,280016,0,3761,16419,4628976,152,302828,126,7,133
21987,San Diego,5/28/2021,County,3370418,74,280090,1,3762,11213,4640189,113,302941,109,10,119
22043,San Diego,5/29/2021,County,3370418,62,280152,5,3767,6490,4646679,108,303049,104,13,117
22099,San Diego,5/30/2021,County,3370418,59,280211,0,3767,5689,4652368,76,303125,103,12,115
22155,San Diego,5/31/2021,County,3370418,56,280267,1,3768,5983,4658351,54,303179,105,10,115
22211,San Diego,6/1/2021,County,3370418,104,280371,1,3769,23881,4682232,240,303419,102,13,115
22267,San Diego,6/2/2021,County,3370418,104,280475,2,3771,17228,4699460,179,303598,96,6,102
22323,San Diego,6/3/2021,County,3370418,80,280555,1,3772,16278,4715738,133,303731,93,6,99
22379,San Diego,6/4/2021,County,3370418,64,280619,0,3772,12008,4727746,156,303887,81,13,94
22435,San Diego,6/5/2021,County,3370418,43,280662,1,3773,6927,4734673,91,303978,83,14,97
22491,San Diego,6/6/2021,County,3370418,41,280703,0,3773,6219,4740892,58,304036,84,21,105
22547,San Diego,6/7/2021,County,3370418,80,280783,1,3774,19191,4760083,177,304213,80,12,92
22603,San Diego,6/8/2021,County,3370418,82,280865,0,3774,17658,4777741,200,304413,83,10,93
22659,San Diego,6/9/2021,County,3370418,63,280928,1,3775,14106,4791847,139,304552,75,12,87
22715,San Diego,6/10/2021,County,3370418,63,280991,1,3776,14844,4806691,133,304685,78,9,87
22771,San Diego,6/11/2021,County,3370418,58,281049,0,3776,11816,4818507,113,304798,71,9,80
22827,San Diego,6/12/2021,County,3370418,40,281089,0,3776,6910,4825417,58,304856,70,17,87
22883,San Diego,6/13/2021,County,3370418,57,281146,0,3776,5652,4831069,71,304927,70,12,82
22939,San Diego,6/14/2021,County,3370418,78,281224,1,3777,16379,4847448,123,305050,71,8,79
22995,San Diego,6/15/2021,County,3370418,106,281330,2,3779,14245,4861693,140,305190,76,8,84
23051,San Diego,6/16/2021,County,3370418,84,281414,1,3780,12289,4873982,122,305312,71,10,81
23107,San Diego,6/17/2021,County,3370418,79,281493,0,3780,12425,4886407,163,305475,65,10,75
23163,San Diego,6/18/2021,County,3370418,77,281570,1,3781,10725,4897132,130,305605,60,8,68
23219,San Diego,6/19/2021,County,3370418,75,281645,1,3782,6991,4904123,141,305746,61,6,67
23275,San Diego,6/20/2021,County,3370418,60,281705,0,3782,5520,4909643,69,305815,61,6,67
23331,San Diego,6/21/2021,County,3370418,106,281811,0,3782,14406,4924049,150,305965,56,10,66
23387,San Diego,6/22/2021,County,3370418,105,281916,2,3784,12304,4936353,183,306148,59,11,70
23443,San Diego,6/23/2021,County,3370418,104,282020,1,3785,11753,4948106,184,306332,56,17,73
23499,San Diego,6/24/2021,County,3370418,100,282120,0,3785,10648,4958754,202,306534,59,14,73
23555,San Diego,6/25/2021,County,3370418,103,282223,0,3785,10112,4968866,157,306691,61,11,72
23611,San Diego,6/26/2021,County,3370418,60,282283,0,3785,6372,4975238,88,306779,66,6,72
23667,San Diego,6/27/2021,County,3370418,85,282368,0,3785,5238,4980476,71,306850,66,7,73
23723,San Diego,6/28/2021,County,3370418,140,282508,0,3785,13185,4993661,182,307032,65,15,80
23779,San Diego,6/29/2021,County,3370418,162,282670,1,3786,13366,5007027,197,307229,74,13,87
23835,San Diego,6/30/2021,County,3370418,155,282825,0,3786,11162,5018189,246,307475,76,11,87
23891,San Diego,7/1/2021,County,3370418,136,282961,0,3786,10735,5028924,257,307732,72,13,85
23947,San Diego,7/2/2021,County,3370418,178,283139,1,3787,9951,5038875,245,307977,75,13,88
24003,San Diego,7/3/2021,County,3370418,145,283284,1,3788,6904,5045779,188,308165,78,14,92
24059,San Diego,7/4/2021,County,3370418,131,283415,0,3788,2313,5048092,78,308243,76,11,87
24115,San Diego,7/5/2021,County,3370418,225,283640,0,3788,7190,5055282,174,308417,78,12,90
24171,San Diego,7/6/2021,County,3370418,363,284003,0,3788,15849,5071131,493,308910,84,19,103
24227,San Diego,7/7/2021,County,3370418,356,284359,0,3788,12403,5083534,485,309395,96,12,108
24283,San Diego,7/8/2021,County,3370418,318,284677,1,3789,12415,5095949,525,309920,105,18,123
24339,San Diego,7/9/2021,County,3370418,328,285005,0,3789,10959,5106908,579,310499,105,17,122
24395,San Diego,7/10/2021,County,3370418,289,285294,1,3790,6788,5113696,370,310869,101,10,111
24451,San Diego,7/11/2021,County,3370418,290,285584,0,3790,4946,5118642,336,311205,99,16,115
24507,San Diego,7/12/2021,County,3370418,413,285997,0,3790,10269,5128911,438,311643,102,9,111
24563,San Diego,7/13/2021,County,3370418,466,286463,0,3790,8790,5137701,455,312098,110,6,116
24619,San Diego,7/14/2021,County,3370418,545,287008,2,3792,9860,5147561,727,312825,121,12,133
24675,San Diego,7/15/2021,County,3370418,572,287580,1,3793,13101,5160662,838,313663,128,9,137
24731,San Diego,7/16/2021,County,3370418,636,288216,1,3794,13317,5173979,900,314563,146,14,160
24787,San Diego,7/17/2021,County,3370418,440,288656,3,3797,8199,5182178,766,315329,150,14,164
24843,San Diego,7/18/2021,County,3370418,406,289062,1,3798,5876,5188054,541,315870,157,15,172
24899,San Diego,7/19/2021,County,3370418,813,289875,0,3798,16516,5204570,1148,317018,168,11,179
24955,San Diego,7/20/2021,County,3370418,894,290769,0,3798,18835,5223405,1427,318445,187,13,200
25011,San Diego,7/21/2021,County,3370418,924,291693,0,3798,16218,5239623,1402,319847,196,14,210
25067,San Diego,7/22/2021,County,3370418,848,292541,3,3801,18624,5258247,1487,321334,207,26,233
25123,San Diego,7/23/2021,County,3370418,729,293270,0,3801,16025,5274272,1406,322740,234,17,251
25179,San Diego,7/24/2021,County,3370418,607,293877,1,3802,10773,5285045,1102,323842,232,21,253
25235,San Diego,7/25/2021,County,3370418,465,294342,0,3802,7745,5292790,771,324613,239,11,250
25291,San Diego,7/26/2021,County,3370418,1060,295402,1,3803,20343,5313133,1594,326207,239,21,260
25347,San Diego,7/27/2021,County,3370418,1110,296512,2,3805,23323,5336456,2000,328207,247,22,269
25403,San Diego,7/28/2021,County,3370418,1083,297595,0,3805,21986,5358442,1941,330148,298,18,316
25459,San Diego,7/29/2021,County,3370418,1267,298862,1,3806,23498,5381940,2263,332411,300,23,323
25515,San Diego,7/30/2021,County,3370418,1058,299920,0,3806,22522,5404462,1982,334393,311,18,329
25571,San Diego,7/31/2021,County,3370418,777,300697,5,3811,14770,5419232,1545,335938,344,22,366
25627,San Diego,8/1/2021,County,3370418,669,301366,2,3813,9976,5429208,1020,336958,359,14,373
25683,San Diego,8/2/2021,County,3370418,1181,302547,3,3816,24895,5454103,1798,338756,369,35,404
25739,San Diego,8/3/2021,County,3370418,1480,304027,3,3819,29963,5484066,2504,341260,388,19,407
25795,San Diego,8/4/2021,County,3370418,1437,305464,3,3822,27856,5511922,2613,343873,406,25,431
25851,San Diego,8/5/2021,County,3370418,1510,306974,1,3823,30372,5542294,2496,346369,428,22,450
25907,San Diego,8/6/2021,County,3370418,1271,308245,3,3826,26410,5568704,2318,348687,441,18,459
25963,San Diego,8/7/2021,County,3370418,1036,309281,1,3827,16820,5585524,1920,350607,455,25,480
26019,San Diego,8/8/2021,County,3370418,754,310035,4,3831,11149,5596673,987,351594,484,20,504
26075,San Diego,8/9/2021,County,3370418,1337,311372,3,3834,26744,5623417,1927,353521,482,21,503
26131,San Diego,8/10/2021,County,3370418,1655,313027,0,3834,35076,5658493,2996,356517,485,22,507
26187,San Diego,8/11/2021,County,3370418,1635,314662,5,3839,32231,5690724,2865,359382,497,20,517
26243,San Diego,8/12/2021,County,3370418,1468,316130,5,3844,32110,5722834,2733,362115,491,20,511
26299,San Diego,8/13/2021,County,3370418,1365,317495,6,3850,27267,5750101,2465,364580,502,21,523
26355,San Diego,8/14/2021,County,3370418,1041,318536,2,3852,18337,5768438,1947,366527,529,19,548
26411,San Diego,8/15/2021,County,3370418,670,319206,5,3857,10347,5778785,985,367512,551,23,574
26467,San Diego,8/16/2021,County,3370418,1472,320678,7,3864,31271,5810056,2095,369607,551,25,576
26523,San Diego,8/17/2021,County,3370418,1590,322268,5,3869,36569,5846625,3031,372638,569,30,599
26579,San Diego,8/18/2021,County,3370418,1607,323875,3,3872,33828,5880453,2866,375504,590,27,617
26635,San Diego,8/19/2021,County,3370418,1339,325214,8,3880,33845,5914298,2658,378162,581,21,602
26691,San Diego,8/20/2021,County,3370418,1243,326457,1,3881,28836,5943134,2416,380578,612,27,639
26747,San Diego,8/21/2021,County,3370418,904,327361,5,3886,18983,5962117,1692,382270,625,27,652
26803,San Diego,8/22/2021,County,3370418,656,328017,5,3891,10408,5972525,887,383157,645,11,656
26859,San Diego,8/23/2021,County,3370418,1314,329331,8,3899,30734,6003259,1824,384981,673,22,695
26915,San Diego,8/24/2021,County,3370418,1428,330759,9,3908,39140,6042399,2694,387675,664,22,686
26971,San Diego,8/25/2021,County,3370418,1440,332199,9,3917,37131,6079530,2539,390214,669,23,692
27027,San Diego,8/26/2021,County,3370418,1260,333459,4,3921,35067,6114597,2279,392493,650,17,667
27083,San Diego,8/27/2021,County,3370418,1021,334480,4,3925,28584,6143181,1994,394487,677,19,696
27139,San Diego,8/28/2021,County,3370418,780,335260,11,3936,19354,6162535,1411,395898,664,27,691
27195,San Diego,8/29/2021,County,3370418,584,335844,2,3938,11247,6173782,826,396724,658,25,683
27251,San Diego,8/30/2021,County,3370418,1103,336947,6,3944,33463,6207245,1691,398415,653,19,672
27307,San Diego,8/31/2021,County,3370418,1263,338210,6,3950,43509,6250754,2371,400786,667,18,685
27363,San Diego,9/1/2021,County,3370418,1249,339459,5,3955,37997,6288751,2133,402919,672,23,695
27419,San Diego,9/2/2021,County,3370418,1020,340479,8,3963,37211,6325962,1935,404854,671,21,692
27475,San Diego,9/3/2021,County,3370418,953,341432,10,3973,30835,6356797,1704,406558,672,15,687
27531,San Diego,9/4/2021,County,3370418,617,342049,5,3978,18400,6375197,1115,407673,638,22,660
27587,San Diego,9/5/2021,County,3370418,434,342483,9,3987,11609,6386806,615,408288,634,19,653
27643,San Diego,9/6/2021,County,3370418,551,343034,4,3991,14260,6401066,857,409145,599,19,618
27699,San Diego,9/7/2021,County,3370418,998,344032,10,4001,47715,6448781,1999,411144,593,16,609
27755,San Diego,9/8/2021,County,3370418,994,345026,7,4008,39779,6488560,1760,412904,581,19,600
27811,San Diego,9/9/2021,County,3370418,911,345937,3,4011,36312,6524872,1558,414462,563,18,581
27867,San Diego,9/10/2021,County,3370418,711,346648,9,4020,29553,6554425,1300,415762,550,20,570
27923,San Diego,9/11/2021,County,3370418,544,347192,5,4025,17823,6572248,991,416753,531,20,551
27979,San Diego,9/12/2021,County,3370418,483,347675,6,4031,14173,6586421,783,417536,517,27,544
28035,San Diego,9/13/2021,County,3370418,808,348483,10,4041,34903,6621324,1277,418813,520,17,537
28091,San Diego,9/14/2021,County,3370418,785,349268,6,4047,39475,6660799,1417,420230,495,21,516
28147,San Diego,9/15/2021,County,3370418,658,349926,7,4054,36162,6696961,1280,421510,478,24,502
28203,San Diego,9/16/2021,County,3370418,614,350540,7,4061,35387,6732348,1241,422751,460,16,476
28259,San Diego,9/17/2021,County,3370418,611,351151,11,4072,27394,6759742,1106,423857,471,14,485
28315,San Diego,9/18/2021,County,3370418,422,351573,8,4080,15910,6775652,724,424581,462,21,483
28371,San Diego,9/19/2021,County,3370418,387,351960,7,4087,13753,6789405,633,425214,456,17,473
28427,San Diego,9/20/2021,County,3370418,702,352662,11,4098,35356,6824761,1057,426271,446,20,466
28483,San Diego,9/21/2021,County,3370418,674,353336,7,4105,40896,6865657,1164,427435,432,14,446
28539,San Diego,9/22/2021,County,3370418,604,353940,5,4110,34056,6899713,1073,428508,414,19,433
28595,San Diego,9/23/2021,County,3370418,450,354390,6,4116,34283,6933996,930,429438,418,19,437
28651,San Diego,9/24/2021,County,3370418,456,354846,5,4121,25679,6959675,829,430267,393,8,401
28707,San Diego,9/25/2021,County,3370418,351,355197,7,4128,14699,6974374,580,430847,385,23,408
28763,San Diego,9/26/2021,County,3370418,344,355541,7,4135,12727,6987101,527,431374,387,21,408
28819,San Diego,9/27/2021,County,3370418,621,356162,5,4140,32838,7019939,1028,432402,375,9,384
28875,San Diego,9/28/2021,County,3370418,650,356812,5,4145,35553,7055492,1067,433469,367,13,380
28931,San Diego,9/29/2021,County,3370418,548,357360,8,4153,29153,7084645,812,434281,351,13,364
28987,San Diego,9/30/2021,County,3370418,487,357847,5,4158,23792,7108437,659,434940,345,20,365
29043,San Diego,10/1/2021,County,3370418,477,358324,6,4164,20218,7128655,584,435524,337,19,356
29099,San Diego,10/2/2021,County,3370418,360,358684,5,4169,10837,7139492,468,435992,325,15,340
29155,San Diego,10/3/2021,County,3370418,317,359001,9,4178,9710,7149202,327,436319,329,15,344
29211,San Diego,10/4/2021,County,3370418,579,359580,7,4185,27169,7176371,650,436969,338,16,354
29267,San Diego,10/5/2021,County,3370418,565,360145,3,4188,28087,7204458,700,437669,327,16,343
29323,San Diego,10/6/2021,County,3370418,574,360719,6,4194,26121,7230579,751,438420,310,11,321
29379,San Diego,10/7/2021,County,3370418,492,361211,5,4199,23531,7254110,655,439075,284,14,298
29435,San Diego,10/8/2021,County,3370418,396,361607,7,4206,19319,7273429,553,439628,288,14,302
29491,San Diego,10/9/2021,County,3370418,327,361934,7,4213,9889,7283318,355,439983,274,13,287
29547,San Diego,10/10/2021,County,3370418,304,362238,3,4216,8620,7291938,274,440257,268,16,284
29603,San Diego,10/11/2021,County,3370418,516,362754,5,4221,24581,7316519,569,440826,276,15,291
29659,San Diego,10/12/2021,County,3370418,511,363265,3,4224,23789,7340308,617,441443,276,11,287
29715,San Diego,10/13/2021,County,3370418,511,363776,3,4227,23822,7364130,585,442028,275,13,288
29771,San Diego,10/14/2021,County,3370418,429,364205,1,4228,22367,7386497,591,442619,264,14,278
29827,San Diego,10/15/2021,County,3370418,440,364645,4,4232,20221,7406718,490,443109,262,14,276
29883,San Diego,10/16/2021,County,3370418,359,365004,2,4234,10081,7416799,417,443526,260,12,272
29939,San Diego,10/17/2021,County,3370418,315,365319,7,4241,8602,7425401,281,443807,266,20,286
29995,San Diego,10/18/2021,County,3370418,586,365905,4,4245,27383,7452784,639,444446,259,16,275
30051,San Diego,10/19/2021,County,3370418,556,366461,2,4247,27595,7480379,658,445104,276,8,284
30107,San Diego,10/20/2021,County,3370418,580,367041,7,4254,26175,7506554,720,445824,273,12,285
30163,San Diego,10/21/2021,County,3370418,507,367548,7,4261,23610,7530164,671,446495,259,16,275
30219,San Diego,10/22/2021,County,3370418,508,368056,3,4264,18878,7549042,615,447110,249,16,265
30275,San Diego,10/23/2021,County,3370418,398,368454,5,4269,10455,7559497,459,447569,260,18,278
30331,San Diego,10/24/2021,County,3370418,342,368796,2,4271,7651,7567148,340,447909,272,22,294
30387,San Diego,10/25/2021,County,3370418,580,369376,4,4275,25625,7592773,664,448573,289,12,301
30443,San Diego,10/26/2021,County,3370418,568,369944,4,4279,26074,7618847,734,449307,283,9,292
30499,San Diego,10/27/2021,County,3370418,516,370460,3,4282,23193,7642040,648,449955,282,9,291
30555,San Diego,10/28/2021,County,3370418,553,371013,2,4284,22610,7664650,710,450665,288,15,303
30611,San Diego,10/29/2021,County,3370418,453,371466,5,4289,19258,7683908,612,451277,290,15,305
30667,San Diego,10/30/2021,County,3370418,370,371836,3,4292,9417,7693325,419,451696,283,14,297
30723,San Diego,10/31/2021,County,3370418,362,372198,1,4293,7403,7700728,334,452030,283,16,299
30779,San Diego,11/1/2021,County,3370418,550,372748,3,4296,25294,7726022,644,452674,281,16,297
30835,San Diego,11/2/2021,County,3370418,565,373313,5,4301,25934,7751956,747,453421,292,22,314
30891,San Diego,11/3/2021,County,3370418,583,373896,6,4307,23772,7775728,678,454099,290,15,305
30947,San Diego,11/4/2021,County,3370418,498,374394,5,4312,21204,7796932,631,454730,289,17,306
31003,San Diego,11/5/2021,County,3370418,468,374862,2,4314,19385,7816317,610,455340,277,20,297
31059,San Diego,11/6/2021,County,3370418,349,375211,4,4318,9866,7826183,382,455722,283,20,303
31115,San Diego,11/7/2021,County,3370418,336,375547,3,4321,8093,7834276,351,456073,270,18,288
31171,San Diego,11/8/2021,County,3370418,574,376121,7,4328,23450,7857726,592,456665,258,15,273
31227,San Diego,11/9/2021,County,3370418,561,376682,7,4335,24609,7882335,738,457403,261,13,274
31283,San Diego,11/10/2021,County,3370418,493,377175,1,4336,24136,7906471,604,458007,259,17,276
31339,San Diego,11/11/2021,County,3370418,404,377579,3,4339,14327,7920798,483,458490,259,13,272
31395,San Diego,11/12/2021,County,3370418,506,378085,3,4342,18939,7939737,678,459168,250,12,262
31451,San Diego,11/13/2021,County,3370418,367,378452,2,4344,9271,7949008,426,459594,260,8,268
