"date","cases","cumulative_cases","hospitalized_confirmed","hospitalized_suspected","hospitalized_covid_patients"
"2023-01-14",650,1903266,3534,484,4018
"2023-01-15",614,1903880,3500,454,3954
"2023-01-16",1018,1904898,3500,496,3996
"2023-01-17",1328,1906226,3478,497,3975
"2023-01-18",1124,1907350,3372,467,3839
"2023-01-19",1040,1908390,3168,499,3667
"2023-01-20",1088,1909478,3117,501,3618
"2023-01-21",606,1910084,2863,489,3352
"2023-01-22",620,1910704,2840,493,3333
"2023-01-23",1436,1912140,2769,515,3284
"2023-01-24",1180,1913320,2736,472,3208
"2023-01-25",1248,1914568,2695,483,3178
"2023-01-26",1110,1915678,2694,486,3180
"2023-01-27",1198,1916876,2600,481,3081
"2023-01-28",718,1917594,2459,459,2918
"2023-01-29",744,1918338,2559,460,3019
"2023-01-30",1588,1919926,2480,473,2953
"2023-01-31",1508,1921434,2562,480,3042
"2023-02-01",1478,1922912,2484,478,2962
"2023-02-02",1396,1924308,2476,500,2976
"2023-02-03",1268,1925576,2404,494,2898
"2023-02-04",770,1926346,2385,474,2859
"2023-02-05",768,1927114,2516,517,3033
"2023-02-06",1770,1928884,2511,513,3024
"2023-02-07",1592,1930476,2578,508,3086
"2023-02-08",1450,1931926,2477,497,2974
"2023-02-09",1344,1933270,2485,488,2973
"2023-02-10",1374,1934644,2480,518,2998
"2023-02-11",804,1935448,2448,503,2951
"2023-02-12",730,1936178,2462,489,2951
"2023-02-13",1512,1937690,2510,470,2980
"2023-02-14",1498,1939188,2529,489,3018
"2023-02-15",1456,1940644,2541,466,3007
"2023-02-16",1336,1941980,2525,491,3016
"2023-02-17",1304,1943284,2509,476,2985
"2023-02-18",814,1944098,2317,478,2795
"2023-02-19",808,1944906,2406,487,2893
"2023-02-20",1306,1946212,2451,483,2934
"2023-02-21",1624,1947836,2573,476,3049
"2023-02-22",1294,1949130,2607,521,3128
"2023-02-23",1312,1950442,2583,525,3108
"2023-02-24",1064,1951506,2516,510,3026
"2023-02-25",768,1952274,2483,501,2984
"2023-02-26",710,1952984,2548,464,3012
"2023-02-27",1464,1954448,2530,469,2999
"2023-02-28",1208,1955656,2517,458,2975
"2023-03-01",1006,1956662,2506,461,2967
